AL	10.1	0.257
AK	5.2	0.176
AZ	7.4	0.196
AR	8.6	0.237
CA	6.1	0.192
CO	7.6	0.165
CT	5.8	0.18
DE	8.1	0.207
FL	8.8	0.194
GA	8.2	0.235
HI	6.1	0.171
ID	6.9	0.202
IL	9.7	0.219
IN	10.7	0.241
IA	8.9	0.229
KS	11.6	0.228
KY	8.5	0.244
LA	12.9	0.255
ME	7.6	0.207
MD	9	0.194
MA	6.4	0.183
MI	10.7	0.254
MN	8.6	0.224
MS	9	0.268
MO	11.4	0.232
MT	7.7	0.187
NE	8.8	0.232
NV	7.7	0.216
NH	8.6	0.179
NJ	5	0.19
NM	7.3	0.197
NY	5.1	0.206
NC	8.4	0.235
ND	8.2	0.234
OH	9.9	0.23
OK	8.1	0.229
OR	10.5	0.203
PA	7.6	0.239
RI	5.8	0.185
SC	9.4	0.258
SD	8.3	0.212
TN	9.1	0.245
TX	8.5	0.255
UT	7.7	0.176
VT	8.2	0.189
VA	10.8	0.238
WA	7.8	0.213
WV	8.4	0.276
WI	10.3	0.216
WY	10.7	0.195
